timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-03-01T10:00:00Z,201.199.32.111,39.53.184.31,8333,8333,tx_02a35ca0c9cef6d4,addr_a2f12128,addr_9a5d439b,0.6125,0.6003,0.0122,p2wpkh,US,AS39256
2026-03-01T10:00:05Z,216.156.159.163,199.117.177.163,8333,8333,tx_d1b7c96ab75fc810,addr_374b32d7,addr_8f0a5f77,0.9612,0.942,0.0192,p2sh,IN,AS87397
2026-03-01T10:00:10Z,202.45.56.146,169.45.155.130,8333,8333,tx_c2f1d10b3500d350,addr_c337c340,addr_8879d378,0.6341,0.6214,0.0127,p2pkh,US,AS76237
2026-03-01T10:00:15Z,215.150.71.238,33.140.237.107,8333,8333,tx_d9152df450c27276,addr_fe03353a,addr_f483223f,3.0256,2.9651,0.0605,p2sh,SG,AS38893
2026-03-01T10:00:20Z,212.156.85.125,207.184.175.98,8333,8333,tx_94a8e77fa99d7e71,addr_8ccf53c2,addr_3a74146f,1.7519,1.7169,0.035,p2pkh,US,AS65392
2026-03-01T10:00:25Z,169.144.223.35,214.45.193.60,8333,8333,tx_5426d2dea61d8adf,addr_a1b40925,addr_011f54c4,1.1997,1.1757,0.024,p2wpkh,IN,AS22156
2026-03-01T10:00:30Z,120.67.28.144,130.189.36.93,8333,8333,tx_cfee3cf8d798008a,addr_5a6df964,addr_919c33fc,2.1154,2.0731,0.0423,p2wpkh,DE,AS15695
2026-03-01T10:00:35Z,156.9.115.113,135.150.100.19,8333,8333,tx_6c10a667f064b8cd,addr_c4f2bc16,addr_483c269e,2.913,2.8547,0.0583,p2wpkh,IN,AS82357
2026-03-01T10:00:40Z,193.80.107.113,160.205.12.218,8333,8333,tx_9b4513189490cefc,addr_d722a931,addr_c8de209c,3.3289,3.2623,0.0666,p2wpkh,US,AS19116
2026-03-01T10:00:45Z,192.168.44.42,202.211.128.60,8333,8333,tx_afb6f6aa95ba9a2a,addr_suspicious_4,addr_dest_975|addr_dest_338|addr_dest_987|addr_dest_203|addr_dest_489|addr_dest_384,2.5403,0.4149|0.4149|0.4149|0.4149|0.4149|0.4149,0.0509,p2wpkh,US,AS58520
2026-03-01T10:00:50Z,165.101.248.155,131.178.246.185,8333,8333,tx_f53393e37cb9e9b0,addr_36e14519,addr_f4abcf45,3.5158,3.4455,0.0703,p2sh,IN,AS89840
2026-03-01T10:00:55Z,125.107.93.11,177.4.175.105,8333,8333,tx_87eaf95435d1f5cd,addr_f34ed791,addr_aa4a3390,2.9036,2.8455,0.0581,p2pkh,US,AS70589
2026-03-01T10:01:00Z,175.221.166.193,215.67.204.33,8333,8333,tx_4cbea999d375a320,addr_f5ed0ccc,addr_7f90f426,4.9529,4.8538,0.0991,p2sh,US,AS52504
2026-03-01T10:01:05Z,201.130.238.94,108.63.36.78,8333,8333,tx_bb9c06aace332983,addr_a7b558db,addr_a7cdff4b,3.992,3.9122,0.0798,p2pkh,IN,AS51347
2026-03-01T10:01:10Z,96.50.174.14,37.250.223.84,8333,8333,tx_909317df7000edf1,addr_fe0cfb11,addr_637fb5b4,0.7978,0.7818,0.016,p2sh,DE,AS37869
2026-03-01T10:01:15Z,119.87.15.10,223.58.195.163,8333,8333,tx_3fc6de99cf8b2808,addr_5a234f66,addr_20ab5f5b,2.2803,2.2347,0.0456,p2sh,SG,AS28726
2026-03-01T10:01:20Z,51.14.57.178,210.173.152.176,8333,8333,tx_7d85348ceb9d580e,addr_7df04c37,addr_2d1c8969,1.6098,1.5776,0.0322,p2sh,DE,AS86622
2026-03-01T10:01:25Z,140.118.89.206,194.93.157.173,8333,8333,tx_57f509020f84fa2d,addr_40c96b13,addr_0a499904,3.1259,3.0634,0.0625,p2wpkh,US,AS28131
2026-03-01T10:01:30Z,215.29.118.80,219.91.163.140,8333,8333,tx_3c48fec5c25add9a,addr_28a27488,addr_118ef2a3,0.9091,0.8909,0.0182,p2pkh,IN,AS30033
2026-03-01T10:01:35Z,26.101.8.8,113.11.47.224,8333,8333,tx_486e9e699cb4babe,addr_95af5afa,addr_c3e8e012,4.0644,3.9831,0.0813,p2wpkh,IN,AS60432
2026-03-01T10:01:40Z,138.21.255.29,143.213.93.169,8333,8333,tx_cd291a4c8bb6f22b,addr_498c5043,addr_18fbfe32,4.9825,4.8828,0.0997,p2sh,DE,AS82512
2026-03-01T10:01:45Z,221.218.191.203,223.57.179.62,8333,8333,tx_470581e76206647a,addr_30afddce,addr_0940b7d1,0.5517,0.5407,0.011,p2sh,IN,AS80381
2026-03-01T10:01:50Z,53.197.62.248,173.228.100.202,8333,8333,tx_d414359d048c2c3f,addr_50279da4,addr_ab6817c3,3.9587,3.8795,0.0792,p2wpkh,IN,AS48469
2026-03-01T10:01:55Z,157.184.112.207,26.115.76.118,8333,8333,tx_7658c2cbf9c3c80f,addr_f29a50f6,addr_410f117f,2.5418,2.491,0.0508,p2sh,DE,AS75612
2026-03-01T10:02:00Z,163.16.92.158,185.86.57.173,8333,8333,tx_95b8d79d2498976d,addr_0114b989,addr_b0f14478,2.7846,2.7289,0.0557,p2pkh,DE,AS76540
2026-03-01T10:02:05Z,85.87.188.195,11.217.1.26,8333,8333,tx_c89f7f80c9be1f44,addr_4658591b,addr_e561862d,1.1878,1.164,0.0238,p2pkh,IN,AS88504
2026-03-01T10:02:10Z,203.130.245.123,212.177.46.147,8333,8333,tx_b60ac6f8e7003da4,addr_6b1cfc85,addr_5d113095,0.5876,0.5758,0.0118,p2wpkh,DE,AS41385
2026-03-01T10:02:15Z,172.27.108.140,197.38.185.27,8333,8333,tx_c1d9ea3677ece230,addr_suspicious_1,addr_dest_849|addr_dest_597|addr_dest_935|addr_dest_170|addr_dest_878|addr_dest_645,3.9463,0.6446|0.6446|0.6446|0.6446|0.6446|0.6446,0.0787,p2pkh,SG,AS82063
2026-03-01T10:02:20Z,119.67.174.17,210.53.38.65,8333,8333,tx_abf37c9f7282e918,addr_01842b12,addr_be07ccb0,2.8745,2.817,0.0575,p2sh,SG,AS37760
2026-03-01T10:02:25Z,216.255.121.52,115.218.47.48,8333,8333,tx_1421a19f8c120b61,addr_248cbaf6,addr_bf82ccfe,3.8987,3.8207,0.078,p2sh,US,AS50857
